Job Title,Company Name,Location,Posted Time Ago,Description,Seniority Level,Employment Type,Job Function,Industries,Industries Sorted
SVP Information Technology & Innovation,FNBC Bank,"Ash Flat, AR",2 weeks ago,"SVP Information Technology & Innovation (Information Technology)

SVP Information Technology & Innovation

FNBC Bank, with headquarters based in Ash Flat, Arkansas, has an immediate opening for a . This role requires someone with the ability to develop and implement a strategic vision of the information technology function for the bank. We are seeking someone that will push business boundaries, challenge long-held assumptions and look for cutting-edge technologies. Although our home office is located in Ash Flat, the primary base work location for this positon is flexible and may be based at any of our FNBC branch offices.

: FNBC Bank, chartered in 1912 as the Bank of Ash Flat, is a $560 million-asset community bank headquartered in Ash Flat, Arkansas. We are a progressive bank with a strategic emphasis on growth. Additional office locations include Cherokee Village, Highland, Hardy, Mammoth Spring, Salem, Melbourne, Horseshoe Bend, Batesville, Mountain Home and Jonesboro.

The SVP of Information Technology & Innovation will be responsible for establishing the overall IT vision and strategically developing the technical infrastructure, including on premise and cloud-based applications. An innovative thinker, the ideal candidate will continuously seek new and unique ways for FNBC to differentiate its customer delivery methods, as well as its core product and process platforms.







FNBC Bank is an equal opportunity employer and gives consideration for employment to qualified applicants without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by federal, state, and local law. Member FDIC.",Executive,Full-time,Information Technology,Nonprofit Organization ManagementBankingFinancial Services,Nonprofit Organization Management
Director Of Information Technology,The Broad,"Los Angeles, CA",2 weeks ago,"The Broad, a high-profile contemporary art museum founded by philanthropists Eli and Edythe Broad on Grand Avenue in downtown Los Angeles, seeks a forward-thinking, collaborative, and hands-on technology practitioner who will provide strategic vision, operational leadership, and support in maintaining and evolving all things information technology at one of the most innovative art museums in the country. The Director of Information Technology (Director) is responsible for supporting and maintaining The Broad’s integrated back-end business systems as well as its visitor-facing technology.",Executive,Full-time,Management,Nonprofit Organization Management,Nonprofit Organization Management
Director of Information Technology,"Ceres Environmental Services, Inc.","Minneapolis, MN",6 days ago,"CERES GLOBAL GROUP

DIRECTOR OF INFORMATION TECHNOLOGY

Position Overview, Key Concepts

As a nimble, dynamic and diversified international specialty contractor, Ceres (pronounced 'series') is looking for a hands-on IT Director with a strong foundation in IT theory and fundamentals.

We seek an entrepreneurial, dynamic, diplomatic, and current IT problem solver who is experienced and adept at supporting an extensive deployed or ""field"" workforce.

Someone whose training covered: software integration/optimization, exposure to software development, systems and database management, MS business products, IT ethics and the relationship between people and technology.

We are looking for a strong, professional: with demonstrable thinking, writing, leadership and communication skills in addition to technical ability.

This individual will interview with evidence of sound judgement, initiative, flexibility, and detail orientation.They will be able to prove how their efforts consequentially and positively impacted their previous employers' organizational effectiveness, security, and productivity.

Information technology at Ceres is an investment and as such the IT Director must consider the ROI and necessary metrics on each project.

The Director of Information Technology is the highest-ranking IT position at Ceres reporting directly to the owner and founder of the organization.

KEY KNOWLEDGE, SKILL and ABILITY AREAS



KEY-DUTY PROGRESSION",Director,Full-time,Information Technology,ConstructionOil & EnergyTransportation/Trucking/Railroad,Construction
Vice President - Information Technology,Associated Materials,"Cuyahoga Falls, OH",1 week ago,"Company Description

Associated Materials is the parent company for leading residential building product brands such as Alside, Gentek, Revere, Alpine and Preservation. With a legacy of over 70 years in business, we create, develop, manufacture, extrude and distribute beautiful siding, windows and more throughout our network of North American company-owned distributors.

Headquartered in Cuyahoga Falls, OH, Associated Materials has over 4000 employees across its U.S. and Canadian manufacturing footprint and our extensive North American distribution center network (120+ locations!). We are a charter member of the Vinyl Siding Institute, the American Association of Architects, the National Association of Home Builders, and the National Association of the Remodeling Industry.

This combination of established brand recognition, manufacturing capacity and distribution reach makes for an exciting and rewarding employment value proposition. Join us, and discover the next step in your career journey.



VP Information Technology (“VP IT”)



Headquartered in Cuyahoga Falls, OH, Associated Materials has over 4000 employees across its U.S. and Canadian distribution center network (120+ locations) and manufacturing operations (11 locations).



We are looking for an experienced VP IT to oversee the use of information technology in our company. The successful candidate will be the one to devise the company’s IT strategy and ensure that all systems necessary to support its operations and objectives are in place and maintained across the US/CA operations.

Our ideal VP IT must have a solid IT background and consistently keep up-to-date with advancements of the field. Furthermore the VP IT should have a diverse range of experience able to blend new technology along with homegrown systems. Finally this role must be a proven leader with strong strategic and business acumen.

The goal is to ensure that information technology adds the maximum value to our company so as to facilitate the success of our business.














Additional Information

All your information will be kept confidential according to EEO guidelines.

Recruiters: Please note that Associated Materials, Alside and any of its affiliated companies does not seek or accept unsolicited resumes or offers of recruiting service associated with any published or unpublished employment opportunities. Any unsolicited information sent to AMI or any of its employees will be considered as unencumbered and free from any fee or charge whatsoever. Only members of our Human Resources Team have authority to engage or authorize recruiting services. Any questions regarding recruiting services of any kind must be sent to jobs at associatedmaterials dot com.

#Indeed - Associated",Executive,Full-time,Information Technology,ConstructionBuilding MaterialsConsumer Goods,Construction
Division Director - Information Technology,Collier County Government,"Naples, FL",12 hours ago,"Purpose of ClassificationCollier County is looking for a hands-on, highly skilled Director of Information Technology with experience in managing a multi-faceted IT operation through administrative and technical leadership in a highly-complex county government!Essential FunctionsPlease visit: https://www.municipalsolutions.org/media/5f18a86e17e98.pdfSend Resume, Letter of Interest and questions by EMAIL to:Recruit127@municipalsolutions.orgThe Recruiting Team can be reached at (888) 545-7333.",Director,Full-time,Information Technology,Military,Military
Director of Information Technology MNN8136,Capstone Search Group,"Lancaster, PA",2 weeks ago,"About The Role

The Director of Information Technology oversees all IT functions for this multi-office insurance organization headquartered in Lancaster, PA. You will manage all activities within the technology department including a small team of employees, all IT operations and implementation of new systems and policies.












$100k to $125k target salary range depending on experience.

Capstone Search Group is a national search firm dedicated to the insurance industry. We are business partners to insurance organizations on staffing related projects. We work nationally with expertise that spans top executives, middle management and technical level positions. We are committed to providing recruiting services of the highest degree of confidentiality, professionalism and integrity.",Director,Full-time,Information Technology,Staffing and RecruitingInsuranceFinancial Services,Staffing and Recruiting
SVP Information Technology & Innovation,FNBC Bank & Trust,"Ash Flat, AR",2 weeks ago,"SVP Information Technology & Innovation

FNBC Bank, with headquarters based in Ash Flat, Arkansas, has an immediate opening for a Senior Vice President- Information Technology & Innovation. This role requires someone with the ability to develop and implement a strategic vision of the information technology function for the bank. We are seeking someone that will push business boundaries, challenge long-held assumptions and look for cutting-edge technologies. Although our home office is located in Ash Flat, the primary base work location for this positon is flexible and may be based at any of our FNBC branch offices.

About FNBC Bank: FNBC Bank, chartered in 1912 as the Bank of Ash Flat, is a $560 million-asset community bank headquartered in Ash Flat, Arkansas. We are a progressive bank with a strategic emphasis on growth. Additional office locations include Cherokee Village, Highland, Hardy, Mammoth Spring, Salem, Melbourne, Horseshoe Bend, Batesville, Mountain Home and Jonesboro.

Position Description Job Purpose and Scope: The SVP of Information Technology & Innovation will be responsible for establishing the overall IT vision and strategically developing the technical infrastructure, including on premise and cloud-based applications. An innovative thinker, the ideal candidate will continuously seek new and unique ways for FNBC to differentiate its customer delivery methods, as well as its core product and process platforms.

Knowledge, Skills & Abilities



FNBC Bank is an equal opportunity employer and gives consideration for employment to qualified applicants without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by federal, state, and local law. Member FDIC.



SDL2019-2048",Executive,Full-time,Information Technology,Banking,Banking
Information Technology Project Manager,Modis,"El Dorado Hills, CA",3 days ago,"Job Responsibilities:
-Manages the IT development and implementation process of company's projects involving departmental or cross-functional teams focused on delivery of new or existing internal/external programs and/or products. 
-Plans and directs schedules and budgets. ",Executive,Contract,Information Technology,Hospital & Health Care,Health
Division Director - Information Technology,Collier County Realty Corp,"Naples, FL",18 hours ago,"Division Director - Information Technology

Print

Division Director - Information Technology

Salary

$100,145.00 - $150,497.00 Annually

Location

Naples, FL

Job Type

Full Time, Regular

Department

Administrative Services Department

Job Number

06168

Closing

8/16/2020 11:59 PM Eastern

Purpose of Classification

Collier County is looking for a hands-on, highly skilled Director of Information Technology with experience in managing a multi-faceted IT operation through administrative and technical leadership in a highly-complex county government!



Please visit:https://www.municipalsolutions.org/media/5f18a86e17e98.pdf

Send Resume, Letter of Interest and questions by EMAIL to:

Recruit127@municipalsolutions.org

The Recruiting Team can be reached at (888) 545-7333.",Director,Full-time,Information Technology,ConstructionEnvironmental ServicesGovernment Administration,Construction
Director of Information Technology Services,"Cook Inlet Tribal Council, Inc.","Anchorage, AK",6 days ago,"COOK INLET TRIBAL COUNCIL, INC. JOB DESCRIPTION



Job Title: Director of Information Technology Services





































































































































PI121739193",Director,Full-time,Information Technology,Nonprofit Organization ManagementHuman ResourcesGovernment Administration,Nonprofit Organization Management
Director/Sr. Director of Information Technology,Houzz,"Santa Monica, CA",3 weeks ago,"About Houzz

Houzz is the leading home renovation and design platform in the world. We have a highly engaged community of over 40 million homeowners who leverage our technologies to find inspiration for their next home project, connect with over 2.5 million home design and remodeling professionals and discover products in the Houzz Shop.



Houzz is looking for a hands-on leader with a proven track record in managing diverse teams delivering against tight deadlines in a dynamic environment. This team is responsible for enabling a high-performing and reliable IT operation and robust infrastructure to power Houzz. You will nurture cross-functional synergy between your team and other internal partners, drive standardization practices and process improvements and create opportunity from complexity.

We are a fast-growing, ever-evolving and market-leading technology company. You are a digital thought leader and industry subject matter expert. The position can be based in Irvine, CA or Santa Monica, CA.







__________________





At Houzz, we strive to create and foster a strong family environment in our workplace. We collaborate to accomplish our goals, always working as a team. We aim to build a culture of inclusion — celebrating and leveraging our differences for the betterment of one another, our products and our community.

Houzz team members come from many backgrounds and bring diverse experiences to the company. We take pride in making each person feel at home.



Join Houzz in revolutionizing the home remodeling and design industry and have an impact on the more than 40 million homeowners who use our platform every month and the 2.3 million-plus home professionals around the world who are active on the site. Houzz has been named one of the most innovative companies in the world by CNBC and others, and is backed by top venture capitalists. At Houzz, you can help drive the future of an industry worth $1.2 trillion in the U.S. and Europe alone.



Our team members play a key role in guiding the direction of our company and are able to work across multiple groups to implement fresh ideas that allow Houzz to be the industry leader. If you are interested in applying your passion to create products that will transform the lives of millions of people who are designing, remodeling and decorating their homes, welcome to Houzz.





Houzz is an Equal Opportunity employer.

__________________





At Houzz, we strive to create and foster a strong family environment in our workplace. We collaborate to accomplish our goals, always working as a team. We aim to build a culture of inclusion — celebrating and leveraging our differences for the betterment of one another, our products and our community.

Houzz team members come from many backgrounds and bring diverse experiences to the company. We take pride in making each person feel at home.



Join Houzz in revolutionizing the home remodeling and design industry and have an impact on the more than 40 million homeowners who use our platform every month and the 2.5 million-plus home professionals around the world who are active on the site. Houzz has been named one of the most innovative companies in the world by CNBC and others, and is backed by top venture capitalists. At Houzz, you can help drive the future of an industry worth $1.2 trillion in the U.S. and Europe alone.



Our team members play a key role in guiding the direction of our company and are able to work across multiple groups to implement fresh ideas that allow Houzz to be the industry leader. If you are interested in applying your passion to create products that will transform the lives of millions of people who are designing, remodeling and decorating their homes, welcome to Houzz.





Houzz is an Equal Opportunity Employer.

If you are a California resident applying for a job, you consent to our California Job Applicant Privacy Notice",Director,Full-time,Information Technology,Computer SoftwareInternetMarketing and Advertising,Computer Software
Director Of Information Technology,Northwest Exterminating,"Atlanta, GA",2 days ago,"About this Role
Are you a natural problem solver that enjoys leading and working with others? Do you enjoy looking for ways to improve processes, systems, and operations? Would you like to help a growing company accelerate that growth through technology? If yes, then the Mouse is looking for you!",Director,Full-time,Information Technology,Consumer Services,Consumer Services
Director of Information Technology,Monroe Township,"Monroe, NJ",4 weeks ago,"Position: Director of Information TechnologyDistrictQualifications:* Master's degree in a related field, preferred* Demonstrated professional experience in a district technology leadership role* Formal training or relevant experience with computer technology and networked information systems* Broad knowledge of instructional technology equipment and applications,on-line services, technology resources and integration of technology across the curriculum* Demonstrated ability to develop long range plans for technology application in the schools and conduct related budget analysis* Strong organizational, communication, and interpersonal skillsAvailability:August 17, 2020 through June 30, 2021Application Procedure:Apply Online Only",Director,Full-time,Education,Education Management,Education
Director of Information Technology,State of South Carolina,"Bamberg, SC",2 weeks ago,"Job Responsibilities
Designs, develops, implements and manages all aspects of the College's Information Technology platform. Directs the development, implementation, and maintenance of the technology infrastructure of the College. The day-to-day duties will include but are not limited to the following: Develops a vision and strategic plan for Information Technology to support and guide the College's strategic plan; Manages the procurement, installation and maintenance of all computer hardware and software and all products/supplies necessary to keep computer systems operable to support customer needs; Directs and manages the operation of the Ellucian-Colleague ERP system and associated reporting systems. Directs the planning and development of the college's website to include all web applications; Consults with executive management, staff members and faculty for needs assessment; Provides exceptional customer service and end-user support for faculty, staff and student users; supervises and directs activities of the network and end-users staff and provides hands-on support as needed.



A bachelor's degree in communications, business administration, computer science (information technology), mathematics, statistics, management information science or a related field and two (2) years experience in telecommunications, data processing and/or information technology. Relevant experience may be substituted for bachelor's degree on a year-for-year basis.



Knowledge of principles and techniques of planning programs in information technology environments related to the priorities of the college. Higher education experience with voice/data communications, network infrastructure, VoIP telephone systems and internet security monitoring systems. The ability to establish and maintain a working relationship with end-users, technical staff, management, and vendors. Proficiency in using and maintaining Colleague - Ellucian ERP, to include all aspects of reporting and application lifecycle.",Director,Full-time,Information Technology,Nonprofit Organization ManagementHigher EducationEducation Management,Nonprofit Organization Management
"Director, Internal Audit Information Technology",Discover Financial Services,"Riverwoods, IL",2 weeks ago,"At Discover, be part of a culture where diversity, teamwork and collaboration reign. Join a company that is just as employee-focused as it is on its customers and is consistently awarded for both. We’re all about people, and our employees are why Discover is a great place to work. Be the reason we help millions of consumers build a brighter financial future and achieve yours along the way with a rewarding career.



Discover Financial Services is a direct banking and payment services company with one of the most recognized brands in U.S. financial services. Since its inception in 1986, the company has become one of the largest card issuers in the United States. The company issues the Discover card, America's cash rewards pioneer, and offers private student loans, personal loans, home equity loans, checking and savings accounts and certificates of deposit through its direct banking business. It operates the Discover Global Network comprised of Discover Network, with millions of merchant and cash access locations; PULSE, one of the nation's leading ATM/debit networks; and Diners Club International, a global payments network with acceptance in 190 countries and territories.

Discover’s vision is to be the leading direct bank and payments partner and its mission is to help people spend smarter, manage debt better and save more so they achieve a brighter financial future.

At Discover, be part of a culture where diversity, teamwork and collaboration reign. Join a company that is just as employee-focused as it is on its customers, and which is consistently awarded for both. We’re all about people and our employees are why Discover is a great place to work. Be the reason we help millions of consumers build a brighter financial future and achieve yours along the way with a rewarding career.



The Internal Audit Director uses operational and technical skills to support the DFS Internal Audit Department objectives. The Internal Audit Director will follow the DFS Internal Audit methodology providing strategic direction on the audits of coverage area, ensure a high quality of the audit work and audit reports, appropriately allocate audit staff in accordance with the pre-determined audit plan and budget hours and be able to adapt allocation of resources when audit plan changes, develop the annual audit universe for coverage area and be able to make adjustments based on needs and changes.

The audits and special reviews will be of the IT General Controls, Information Security, IT Network, and Infrastructure, with an objective to improve controls and efficiencies of the activities reviewed.






























What are you waiting for? Apply today!

The same way we treat our employees is how we treat all applicants – with respect. Discover Financial Services is an equal opportunity employer (EEO is the law). We thrive on diversity & inclusion. You will be treated fairly throughout our recruiting process and without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status in consideration for a career at Discover.",Director,Internship,Accounting/Auditing,Financial ServicesBankingHospitality,Financial Services
Director of Information Technology,Saltzer Health,"Nampa, ID",3 weeks ago,"Position: Director of Information Technology
Location: Nampa, ID
Status: Full-time/Exempt

Saltzer Health is growing and changing, but our values remain true to the vision of our founders. Since 1961, we have cared for generations. We believe in innovation, choice, cost transparency and convenience with a focus on providing quality care for our patients and their families. Join us and you’ll find a culture of teamwork, professionalism and mutual respect.



The Director of Information Technology will oversee Saltzer’s physical IT infrastructure and be responsible for key software platforms. They will manage the organization’s IT department personnel and maintain relationships with key hardware and software vendors. They will be responsible for implementing and maintaining policies and procedures across the organization.







Powered by JazzHR

Hhx3P44yYJ",Director,Full-time,Information Technology,"Health, Wellness and FitnessMedical PracticeHospital & Health Care",Health
COO - Information Technology,"Synergetics DCS, Inc.","Mississippi, United States",2 weeks ago,"Seeking Visionary, Entrepreneurial Technological Leader To Take Us To The Next Level!

Join Our Regional Award-Winning Company!
Mississippi Fast 40 2003, 2004, 2008",Executive,Full-time,Information Technology,Information Technology and Services,Information Technology
Director Of Information Technology,Alpha Recon,"Denver, CO",2 weeks ago,"Alpha Recon is an emerging and disruptive risk technology company helping to improve security and risk outcomes for schools, security companies and enterprises. As an early stage company we are looking for experienced candidates that seek to grow with the company. REMOTE positions available for stock options and salary after short probabtion period. Salary will scale with experience and time but applicants must be entrepreneurial minded first. Alpha Recon is growing fast and the software is extremely important. If you want to be part of a special ops grade team and environment, we look forward to hearing from you! Please do not apply if you do not have extensive experience with managing IT in the cloud and related security.",Director,Full-time,Information Technology,Computer Software,Computer Software
